code,r,g,b,alpha
339,0.7529411764705882,1.0,0.0,0.5019607843137255
341,0.9411764705882353,0.5607843137254902,0.10980392156862745,0.5019607843137255
350,0.8392156862745098,0.4745098039215686,0.13725490196078433,1.0
351,0.9686274509803922,0.5215686274509804,0.6941176470588235,1.0
353,1.0,0.42745098039215684,0.4666666666666667,1.0
360,0.9882352941176471,0.9882352941176471,0.9882352941176471,0.9411764705882353
362,0.6823529411764706,0.9137254901960784,0.9372549019607843,0.7843137254901961
363,0.38823529411764707,0.37254901960784315,0.3215686274509804,0.7843137254901961
364,0.8745098039215686,0.4,0.5843137254901961,0.7843137254901961
365,0.403921568627451,0.12156862745098039,0.5058823529411764,0.7843137254901961
366,0.8470588235294118,0.42745098039215684,0.17254901960784313,1.0
367,0.13725490196078433,0.47058823529411764,0.2549019607843137,0.7843137254901961
368,0.9294117647058824,1.0,0.12941176470588237,1.0
370,0.4588235294117647,0.34901960784313724,0.27058823529411763,1.0
371,0.8,0.6392156862745098,0.45098039215686275,1.0
373,0.4588235294117647,0.396078431372549,0.49019607843137253,1.0
375,0.5411764705882353,0.5725490196078431,0.5529411764705883,1.0
378,0.4392156862745098,0.5568627450980392,0.48627450980392156,1.0
379,0.4392156862745098,0.5058823529411764,0.6039215686274509,1.0
383,0.807843137254902,0.807843137254902,0.807843137254902,1.0
402,0.792156862745098,0.2980392156862745,0.043137254901960784,1.0
406,0.09803921568627451,0.19607843137254902,0.35294117647058826,1.0
422,0.5686274509803921,0.3607843137254902,0.23529411764705882,1.0
423,0.32941176470588235,0.24705882352941178,0.2,1.0
424,0.8666666666666667,0.6196078431372549,0.2784313725490196,1.0
449,0.403921568627451,0.12156862745098039,0.5058823529411764,1.0
450,0.8235294117647058,0.4666666666666667,0.26666666666666666,1.0
462,0.9607843137254902,0.5254901960784314,0.1411764705882353,1.0
484,0.5686274509803921,0.3137254901960784,0.10980392156862745,1.0
490,0.6470588235294118,0.792156862745098,0.09411764705882353,1.0
493,0.396078431372549,0.403921568627451,0.3803921568627451,1.0
494,0.8156862745098039,0.8156862745098039,0.8156862745098039,1.0
495,0.6823529411764706,0.47843137254901963,0.34901960784313724,1.0
496,0.5882352941176471,0.5882352941176471,0.5882352941176471,1.0
503,0.7372549019607844,0.7058823529411765,0.6470588235294118,1.0
504,0.5372549019607843,0.5294117647058824,0.5333333333333333,1.0
507,0.9803921568627451,0.611764705882353,0.10980392156862745,1.0
508,0.7764705882352941,0.3176470588235294,0.15294117647058825,1.0
509,0.8117647058823529,0.5411764705882353,0.2784313725490196,1.0
510,0.47058823529411764,0.9882352941176471,0.47058823529411764,1.0
511,0.9568627450980393,0.9568627450980393,0.9568627450980393,1.0
10002,0.0,0.5215686274509804,0.16862745098039217,1.0
10010,0.34509803921568627,0.6705882352941176,0.2549019607843137,1.0
10019,0.8431372549019608,0.7294117647058823,0.5490196078431373,1.0
10026,0.5647058823529412,0.12156862745098039,0.4627450980392157,1.0
10029,1.0,0.6196078431372549,0.803921568627451,1.0
10030,0.6274509803921569,0.43137254901960786,0.7254901960784313,1.0
10031,0.803921568627451,0.6431372549019608,0.8705882352941177,1.0
10035,0.33725490196078434,0.9019607843137255,0.27450980392156865,0.5019607843137255
10036,0.788235294117647,0.10196078431372549,0.03529411764705882,0.5019607843137255
10043,0.6823529411764706,0.9137254901960784,0.9372549019607843,0.5019607843137255
10045,0.592156862745098,0.796078431372549,0.8509803921568627,1.0
10046,0.6784313725490196,0.396078431372549,0.6039215686274509,1.0
10047,1.0,1.0,1.0,0.06274509803921569
10049,0.996078431372549,0.8,0.8117647058823529,1.0
10070,0.37254901960784315,0.19215686274509805,0.03529411764705882,1.0
